ID,Section,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
204,Paragraph Comprehension (PC),"According to the passage, which is true?",B is true,D is accurate,C is wrong,A is false,B,The passage directly supports D.
205,Mathematics Knowledge (MK),What is the square root of 81?,10,8,7,9,D,9 × 9 = 81.
206,General Science (GS),What is the basic unit of life?,Tissue,Cell,Atom,Organ,B,The cell is the basic structural and functional unit of all organisms.
207,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",60 mph,50 mph,45 mph,40 mph,C,60 ÷ 1.5 = 40 mph.
208,Word Knowledge (WK),'Conceal' means to:,Show,Display,Hide,Reveal,C,To conceal is to hide something.
209,Paragraph Comprehension (PC),"From the passage, we can infer that:",It’s raining,The event happened,The author disagrees,None of the above,B,Inference: it happened.
210,Mathematics Knowledge (MK),What is the square root of 81?,8,10,7,9,D,9 × 9 = 81.
211,General Science (GS),What gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Hydrogen,Carbon Dioxide,D,Plants absorb carbon dioxide during photosynthesis.
212,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",20 mpg,30 mpg,25 mpg,35 mpg,B,375 ÷ 15 = 25 mpg.
213,Word Knowledge (WK),'Conceal' means to:,Display,Show,Reveal,Hide,D,To conceal is to hide something.
214,Paragraph Comprehension (PC),The author’s main purpose is to:,Confuse,Persuade,Inform,Entertain,C,The text provides facts and information.
215,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,4,5,3,2,A,"2x = 6, x = 3."
216,General Science (GS),What planet is known as the Red Planet?,Venus,Jupiter,Mars,Earth,C,Mars is often called the Red Planet due to its reddish appearance.
217,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",40 mph,60 mph,50 mph,45 mph,D,60 ÷ 1.5 = 40 mph.
218,Word Knowledge (WK),'Conceal' means to:,Hide,Display,Reveal,Show,A,To conceal is to hide something.
219,Paragraph Comprehension (PC),"According to the passage, which is true?",C is wrong,D is accurate,A is false,B is true,B,The passage directly supports D.
220,Mathematics Knowledge (MK),What is 15% of 200?,20,30,35,25,B,15% of 200 = 0.15 × 200 = 30.
221,General Science (GS),What planet is known as the Red Planet?,Venus,Earth,Mars,Jupiter,C,Mars is often called the Red Planet due to its reddish appearance.
222,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",50 mph,40 mph,60 mph,45 mph,D,60 ÷ 1.5 = 40 mph.
223,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Clear,Dull,Bright,Colorful,B,"'Vivid' means bright or intense, opposite is dull."
224,Paragraph Comprehension (PC),"From the passage, we can infer that:",None of the above,The author disagrees,It’s raining,The event happened,D,Inference: it happened.
225,Mathematics Knowledge (MK),What is the square root of 81?,10,8,9,7,C,9 × 9 = 81.
226,General Science (GS),What planet is known as the Red Planet?,Jupiter,Mars,Earth,Venus,B,Mars is often called the Red Planet due to its reddish appearance.
227,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",30 mpg,35 mpg,20 mpg,25 mpg,A,375 ÷ 15 = 25 mpg.
228,Word Knowledge (WK),'Conceal' means to:,Reveal,Show,Hide,Display,C,To conceal is to hide something.
229,Paragraph Comprehension (PC),The author’s main purpose is to:,Inform,Confuse,Persuade,Entertain,A,The text provides facts and information.
230,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,2,3,4,5,C,"2x = 6, x = 3."
231,General Science (GS),What planet is known as the Red Planet?,Venus,Earth,Jupiter,Mars,D,Mars is often called the Red Planet due to its reddish appearance.
232,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",50 mph,45 mph,60 mph,40 mph,B,60 ÷ 1.5 = 40 mph.
233,Word Knowledge (WK),'Conceal' means to:,Show,Hide,Reveal,Display,B,To conceal is to hide something.
234,Paragraph Comprehension (PC),"From the passage, we can infer that:",It’s raining,None of the above,The author disagrees,The event happened,D,Inference: it happened.
235,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,5,4,2,3,B,"2x = 6, x = 3."
236,General Science (GS),What planet is known as the Red Planet?,Venus,Jupiter,Earth,Mars,D,Mars is often called the Red Planet due to its reddish appearance.
237,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",35 mpg,25 mpg,20 mpg,30 mpg,D,375 ÷ 15 = 25 mpg.
238,Word Knowledge (WK),'Conceal' means to:,Display,Hide,Reveal,Show,B,To conceal is to hide something.
239,Paragraph Comprehension (PC),The author’s main purpose is to:,Inform,Confuse,Persuade,Entertain,A,The text provides facts and information.
240,Mathematics Knowledge (MK),What is the square root of 81?,10,7,8,9,D,9 × 9 = 81.
241,General Science (GS),What gas do plants absorb from the atmosphere?,Nitrogen,Carbon Dioxide,Hydrogen,Oxygen,B,Plants absorb carbon dioxide during photosynthesis.
242,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$75,$65,$70,$60,D,"25% of 80 is 20, so 80 - 20 = 60."
243,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Clear,Colorful,Dull,Bright,C,"'Vivid' means bright or intense, opposite is dull."
244,Paragraph Comprehension (PC),The author’s main purpose is to:,Inform,Confuse,Persuade,Entertain,A,The text provides facts and information.
245,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,4,5,2,3,A,"2x = 6, x = 3."
246,General Science (GS),What gas do plants absorb from the atmosphere?,Nitrogen,Hydrogen,Carbon Dioxide,Oxygen,C,Plants absorb carbon dioxide during photosynthesis.
247,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",20 mpg,25 mpg,30 mpg,35 mpg,C,375 ÷ 15 = 25 mpg.
248,Word Knowledge (WK),'Conceal' means to:,Reveal,Show,Display,Hide,D,To conceal is to hide something.
249,Paragraph Comprehension (PC),"According to the passage, which is true?",C is wrong,B is true,D is accurate,A is false,C,The passage directly supports D.
250,Mathematics Knowledge (MK),What is 15% of 200?,20,30,25,35,B,15% of 200 = 0.15 × 200 = 30.
251,General Science (GS),What gas do plants absorb from the atmosphere?,Nitrogen,Hydrogen,Oxygen,Carbon Dioxide,D,Plants absorb carbon dioxide during photosynthesis.
252,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",35 mpg,30 mpg,20 mpg,25 mpg,B,375 ÷ 15 = 25 mpg.
253,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Dull,Bright,Clear,Colorful,A,"'Vivid' means bright or intense, opposite is dull."
254,Paragraph Comprehension (PC),"According to the passage, which is true?",B is true,D is accurate,C is wrong,A is false,B,The passage directly supports D.
255,Mathematics Knowledge (MK),What is the square root of 81?,7,10,9,8,C,9 × 9 = 81.
256,General Science (GS),What planet is known as the Red Planet?,Venus,Earth,Mars,Jupiter,C,Mars is often called the Red Planet due to its reddish appearance.
257,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$60,$65,$70,$75,A,"25% of 80 is 20, so 80 - 20 = 60."
258,Word Knowledge (WK),'Conceal' means to:,Show,Reveal,Hide,Display,C,To conceal is to hide something.
259,Paragraph Comprehension (PC),"From the passage, we can infer that:",None of the above,The author disagrees,It’s raining,The event happened,D,Inference: it happened.
260,Mathematics Knowledge (MK),What is the square root of 81?,7,10,9,8,C,9 × 9 = 81.
261,General Science (GS),What planet is known as the Red Planet?,Earth,Venus,Jupiter,Mars,D,Mars is often called the Red Planet due to its reddish appearance.
262,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$70,$65,$75,$60,D,"25% of 80 is 20, so 80 - 20 = 60."
263,Word Knowledge (WK),What is the synonym of 'elated'?,Sad,Joyful,Angry,Tired,B,'Elated' means extremely happy or joyful.
264,Paragraph Comprehension (PC),"From the passage, we can infer that:",The event happened,It’s raining,None of the above,The author disagrees,A,Inference: it happened.
265,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,4,2,5,3,A,"2x = 6, x = 3."
266,General Science (GS),What is the basic unit of life?,Tissue,Atom,Cell,Organ,C,The cell is the basic structural and functional unit of all organisms.
267,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",30 mpg,20 mpg,25 mpg,35 mpg,A,375 ÷ 15 = 25 mpg.
268,Word Knowledge (WK),'Conceal' means to:,Hide,Reveal,Show,Display,A,To conceal is to hide something.
269,Paragraph Comprehension (PC),The author’s main purpose is to:,Confuse,Persuade,Inform,Entertain,C,The text provides facts and information.
270,Mathematics Knowledge (MK),What is 15% of 200?,35,20,25,30,D,15% of 200 = 0.15 × 200 = 30.
271,General Science (GS),What is the basic unit of life?,Atom,Cell,Tissue,Organ,B,The cell is the basic structural and functional unit of all organisms.
272,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",45 mph,60 mph,40 mph,50 mph,A,60 ÷ 1.5 = 40 mph.
273,Word Knowledge (WK),What is the synonym of 'elated'?,Joyful,Sad,Tired,Angry,A,'Elated' means extremely happy or joyful.
274,Paragraph Comprehension (PC),"From the passage, we can infer that:",The event happened,None of the above,It’s raining,The author disagrees,A,Inference: it happened.
275,Mathematics Knowledge (MK),What is the square root of 81?,10,8,9,7,C,9 × 9 = 81.
276,General Science (GS),What is the basic unit of life?,Atom,Cell,Tissue,Organ,B,The cell is the basic structural and functional unit of all organisms.
277,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",35 mpg,25 mpg,30 mpg,20 mpg,C,375 ÷ 15 = 25 mpg.
278,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Clear,Bright,Dull,Colorful,C,"'Vivid' means bright or intense, opposite is dull."
279,Paragraph Comprehension (PC),"From the passage, we can infer that:",The author disagrees,It’s raining,The event happened,None of the above,C,Inference: it happened.
280,Mathematics Knowledge (MK),What is the square root of 81?,9,8,10,7,A,9 × 9 = 81.
281,General Science (GS),What planet is known as the Red Planet?,Jupiter,Earth,Venus,Mars,D,Mars is often called the Red Planet due to its reddish appearance.
282,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",45 mph,40 mph,60 mph,50 mph,A,60 ÷ 1.5 = 40 mph.
283,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Colorful,Bright,Clear,Dull,D,"'Vivid' means bright or intense, opposite is dull."
284,Paragraph Comprehension (PC),"According to the passage, which is true?",A is false,C is wrong,B is true,D is accurate,D,The passage directly supports D.
285,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,5,4,3,2,B,"2x = 6, x = 3."
286,General Science (GS),What gas do plants absorb from the atmosphere?,Nitrogen,Hydrogen,Oxygen,Carbon Dioxide,D,Plants absorb carbon dioxide during photosynthesis.
287,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$60,$70,$75,$65,A,"25% of 80 is 20, so 80 - 20 = 60."
288,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Bright,Colorful,Dull,Clear,C,"'Vivid' means bright or intense, opposite is dull."
289,Paragraph Comprehension (PC),The author’s main purpose is to:,Persuade,Confuse,Inform,Entertain,C,The text provides facts and information.
290,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,3,2,4,5,C,"2x = 6, x = 3."
291,General Science (GS),What is the basic unit of life?,Atom,Cell,Tissue,Organ,B,The cell is the basic structural and functional unit of all organisms.
292,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$70,$75,$60,$65,C,"25% of 80 is 20, so 80 - 20 = 60."
293,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Colorful,Bright,Clear,Dull,D,"'Vivid' means bright or intense, opposite is dull."
294,Paragraph Comprehension (PC),"From the passage, we can infer that:",The event happened,None of the above,The author disagrees,It’s raining,A,Inference: it happened.
295,Mathematics Knowledge (MK),What is 15% of 200?,35,30,25,20,B,15% of 200 = 0.15 × 200 = 30.
296,General Science (GS),What is the basic unit of life?,Tissue,Atom,Cell,Organ,C,The cell is the basic structural and functional unit of all organisms.
297,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",25 mpg,30 mpg,35 mpg,20 mpg,B,375 ÷ 15 = 25 mpg.
298,Word Knowledge (WK),'Conceal' means to:,Display,Hide,Reveal,Show,B,To conceal is to hide something.
299,Paragraph Comprehension (PC),The author’s main purpose is to:,Confuse,Persuade,Entertain,Inform,D,The text provides facts and information.
300,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,5,2,4,3,C,"2x = 6, x = 3."
301,General Science (GS),What is the basic unit of life?,Organ,Atom,Cell,Tissue,C,The cell is the basic structural and functional unit of all organisms.
302,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$70,$60,$75,$65,B,"25% of 80 is 20, so 80 - 20 = 60."
303,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Bright,Dull,Clear,Colorful,B,"'Vivid' means bright or intense, opposite is dull."
304,Paragraph Comprehension (PC),"From the passage, we can infer that:",None of the above,It’s raining,The author disagrees,The event happened,D,Inference: it happened.
305,Mathematics Knowledge (MK),What is 15% of 200?,20,35,30,25,C,15% of 200 = 0.15 × 200 = 30.
306,General Science (GS),What is the basic unit of life?,Tissue,Cell,Organ,Atom,B,The cell is the basic structural and functional unit of all organisms.
307,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$75,$60,$65,$70,B,"25% of 80 is 20, so 80 - 20 = 60."
308,Word Knowledge (WK),What is the synonym of 'elated'?,Joyful,Tired,Sad,Angry,A,'Elated' means extremely happy or joyful.
309,Paragraph Comprehension (PC),"From the passage, we can infer that:",It’s raining,None of the above,The event happened,The author disagrees,C,Inference: it happened.
310,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,2,3,4,5,C,"2x = 6, x = 3."
311,General Science (GS),What gas do plants absorb from the atmosphere?,Nitrogen,Carbon Dioxide,Hydrogen,Oxygen,B,Plants absorb carbon dioxide during photosynthesis.
312,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",20 mpg,25 mpg,35 mpg,30 mpg,D,375 ÷ 15 = 25 mpg.
313,Word Knowledge (WK),'Conceal' means to:,Hide,Reveal,Display,Show,A,To conceal is to hide something.
314,Paragraph Comprehension (PC),"According to the passage, which is true?",C is wrong,A is false,B is true,D is accurate,D,The passage directly supports D.
315,Mathematics Knowledge (MK),What is 15% of 200?,20,30,25,35,B,15% of 200 = 0.15 × 200 = 30.
316,General Science (GS),What planet is known as the Red Planet?,Venus,Earth,Mars,Jupiter,C,Mars is often called the Red Planet due to its reddish appearance.
317,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$75,$65,$70,$60,D,"25% of 80 is 20, so 80 - 20 = 60."
318,Word Knowledge (WK),What is the synonym of 'elated'?,Sad,Joyful,Tired,Angry,B,'Elated' means extremely happy or joyful.
319,Paragraph Comprehension (PC),"From the passage, we can infer that:",The event happened,The author disagrees,It’s raining,None of the above,A,Inference: it happened.
320,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,3,5,2,4,D,"2x = 6, x = 3."
321,General Science (GS),What is the basic unit of life?,Cell,Organ,Tissue,Atom,A,The cell is the basic structural and functional unit of all organisms.
322,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$60,$70,$75,$65,A,"25% of 80 is 20, so 80 - 20 = 60."
323,Word Knowledge (WK),'Conceal' means to:,Hide,Show,Display,Reveal,A,To conceal is to hide something.
324,Paragraph Comprehension (PC),"According to the passage, which is true?",D is accurate,B is true,C is wrong,A is false,A,The passage directly supports D.
325,Mathematics Knowledge (MK),What is the square root of 81?,9,8,7,10,A,9 × 9 = 81.
326,General Science (GS),What is the basic unit of life?,Cell,Organ,Tissue,Atom,A,The cell is the basic structural and functional unit of all organisms.
327,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$60,$75,$70,$65,A,"25% of 80 is 20, so 80 - 20 = 60."
328,Word Knowledge (WK),What is the synonym of 'elated'?,Sad,Angry,Joyful,Tired,C,'Elated' means extremely happy or joyful.
329,Paragraph Comprehension (PC),"According to the passage, which is true?",B is true,A is false,C is wrong,D is accurate,D,The passage directly supports D.
330,Mathematics Knowledge (MK),What is the square root of 81?,10,7,8,9,D,9 × 9 = 81.
331,General Science (GS),What planet is known as the Red Planet?,Mars,Jupiter,Venus,Earth,A,Mars is often called the Red Planet due to its reddish appearance.
332,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$75,$65,$70,$60,D,"25% of 80 is 20, so 80 - 20 = 60."
333,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Bright,Dull,Colorful,Clear,B,"'Vivid' means bright or intense, opposite is dull."
334,Paragraph Comprehension (PC),"According to the passage, which is true?",C is wrong,D is accurate,A is false,B is true,B,The passage directly supports D.
335,Mathematics Knowledge (MK),What is the square root of 81?,7,10,9,8,C,9 × 9 = 81.
336,General Science (GS),What gas do plants absorb from the atmosphere?,Carbon Dioxide,Oxygen,Hydrogen,Nitrogen,A,Plants absorb carbon dioxide during photosynthesis.
337,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",25 mpg,35 mpg,20 mpg,30 mpg,D,375 ÷ 15 = 25 mpg.
338,Word Knowledge (WK),What is the synonym of 'elated'?,Joyful,Sad,Tired,Angry,A,'Elated' means extremely happy or joyful.
339,Paragraph Comprehension (PC),"From the passage, we can infer that:",It’s raining,The event happened,The author disagrees,None of the above,B,Inference: it happened.
340,Mathematics Knowledge (MK),What is the square root of 81?,10,8,9,7,C,9 × 9 = 81.
341,General Science (GS),What gas do plants absorb from the atmosphere?,Carbon Dioxide,Nitrogen,Hydrogen,Oxygen,A,Plants absorb carbon dioxide during photosynthesis.
342,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$65,$70,$75,$60,D,"25% of 80 is 20, so 80 - 20 = 60."
343,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Colorful,Clear,Bright,Dull,D,"'Vivid' means bright or intense, opposite is dull."
344,Paragraph Comprehension (PC),The author’s main purpose is to:,Persuade,Inform,Entertain,Confuse,B,The text provides facts and information.
345,Mathematics Knowledge (MK),What is the square root of 81?,7,9,8,10,B,9 × 9 = 81.
346,General Science (GS),What planet is known as the Red Planet?,Jupiter,Mars,Venus,Earth,B,Mars is often called the Red Planet due to its reddish appearance.
347,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",25 mpg,35 mpg,20 mpg,30 mpg,D,375 ÷ 15 = 25 mpg.
348,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Clear,Dull,Bright,Colorful,B,"'Vivid' means bright or intense, opposite is dull."
349,Paragraph Comprehension (PC),The author’s main purpose is to:,Confuse,Entertain,Inform,Persuade,C,The text provides facts and information.
350,Mathematics Knowledge (MK),What is 15% of 200?,20,25,30,35,C,15% of 200 = 0.15 × 200 = 30.
351,General Science (GS),What planet is known as the Red Planet?,Earth,Jupiter,Mars,Venus,C,Mars is often called the Red Planet due to its reddish appearance.
352,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",35 mpg,25 mpg,20 mpg,30 mpg,D,375 ÷ 15 = 25 mpg.
353,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Dull,Clear,Colorful,Bright,A,"'Vivid' means bright or intense, opposite is dull."
354,Paragraph Comprehension (PC),The author’s main purpose is to:,Persuade,Confuse,Entertain,Inform,D,The text provides facts and information.
355,Mathematics Knowledge (MK),What is the square root of 81?,8,10,7,9,D,9 × 9 = 81.
356,General Science (GS),What gas do plants absorb from the atmosphere?,Hydrogen,Oxygen,Carbon Dioxide,Nitrogen,C,Plants absorb carbon dioxide during photosynthesis.
357,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$60,$75,$70,$65,A,"25% of 80 is 20, so 80 - 20 = 60."
358,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Colorful,Dull,Bright,Clear,B,"'Vivid' means bright or intense, opposite is dull."
359,Paragraph Comprehension (PC),"According to the passage, which is true?",A is false,C is wrong,B is true,D is accurate,D,The passage directly supports D.
360,Mathematics Knowledge (MK),What is the square root of 81?,8,10,7,9,D,9 × 9 = 81.
361,General Science (GS),What is the basic unit of life?,Tissue,Atom,Cell,Organ,C,The cell is the basic structural and functional unit of all organisms.
362,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",20 mpg,30 mpg,25 mpg,35 mpg,B,375 ÷ 15 = 25 mpg.
363,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Bright,Dull,Colorful,Clear,B,"'Vivid' means bright or intense, opposite is dull."
364,Paragraph Comprehension (PC),"According to the passage, which is true?",A is false,B is true,D is accurate,C is wrong,C,The passage directly supports D.
365,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,2,3,5,4,D,"2x = 6, x = 3."
366,General Science (GS),What gas do plants absorb from the atmosphere?,Nitrogen,Hydrogen,Oxygen,Carbon Dioxide,D,Plants absorb carbon dioxide during photosynthesis.
367,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",20 mpg,35 mpg,25 mpg,30 mpg,D,375 ÷ 15 = 25 mpg.
368,Word Knowledge (WK),'Conceal' means to:,Reveal,Hide,Show,Display,B,To conceal is to hide something.
369,Paragraph Comprehension (PC),"From the passage, we can infer that:",The author disagrees,None of the above,It’s raining,The event happened,D,Inference: it happened.
370,Mathematics Knowledge (MK),What is the square root of 81?,8,10,7,9,D,9 × 9 = 81.
371,General Science (GS),What gas do plants absorb from the atmosphere?,Hydrogen,Oxygen,Nitrogen,Carbon Dioxide,D,Plants absorb carbon dioxide during photosynthesis.
372,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",45 mph,50 mph,60 mph,40 mph,A,60 ÷ 1.5 = 40 mph.
373,Word Knowledge (WK),What is the synonym of 'elated'?,Angry,Sad,Joyful,Tired,C,'Elated' means extremely happy or joyful.
374,Paragraph Comprehension (PC),"According to the passage, which is true?",D is accurate,A is false,B is true,C is wrong,A,The passage directly supports D.
375,Mathematics Knowledge (MK),What is 15% of 200?,25,30,35,20,B,15% of 200 = 0.15 × 200 = 30.
376,General Science (GS),What is the basic unit of life?,Tissue,Organ,Cell,Atom,C,The cell is the basic structural and functional unit of all organisms.
377,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$65,$70,$75,$60,D,"25% of 80 is 20, so 80 - 20 = 60."
378,Word Knowledge (WK),'Conceal' means to:,Display,Reveal,Hide,Show,C,To conceal is to hide something.
379,Paragraph Comprehension (PC),The author’s main purpose is to:,Confuse,Persuade,Inform,Entertain,C,The text provides facts and information.
380,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,5,3,2,4,D,"2x = 6, x = 3."
381,General Science (GS),What gas do plants absorb from the atmosphere?,Hydrogen,Nitrogen,Carbon Dioxide,Oxygen,C,Plants absorb carbon dioxide during photosynthesis.
382,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$60,$65,$75,$70,A,"25% of 80 is 20, so 80 - 20 = 60."
383,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Clear,Colorful,Dull,Bright,C,"'Vivid' means bright or intense, opposite is dull."
384,Paragraph Comprehension (PC),"From the passage, we can infer that:",None of the above,The event happened,It’s raining,The author disagrees,B,Inference: it happened.
385,Mathematics Knowledge (MK),What is 15% of 200?,25,20,30,35,C,15% of 200 = 0.15 × 200 = 30.
386,General Science (GS),What is the basic unit of life?,Tissue,Atom,Cell,Organ,C,The cell is the basic structural and functional unit of all organisms.
387,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$60,$75,$70,$65,A,"25% of 80 is 20, so 80 - 20 = 60."
388,Word Knowledge (WK),What is the synonym of 'elated'?,Joyful,Tired,Angry,Sad,A,'Elated' means extremely happy or joyful.
389,Paragraph Comprehension (PC),"From the passage, we can infer that:",The author disagrees,The event happened,None of the above,It’s raining,B,Inference: it happened.
390,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,3,5,4,2,C,"2x = 6, x = 3."
391,General Science (GS),What planet is known as the Red Planet?,Venus,Jupiter,Mars,Earth,C,Mars is often called the Red Planet due to its reddish appearance.
392,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",25 mpg,30 mpg,20 mpg,35 mpg,B,375 ÷ 15 = 25 mpg.
393,Word Knowledge (WK),'Conceal' means to:,Display,Show,Reveal,Hide,D,To conceal is to hide something.
394,Paragraph Comprehension (PC),The author’s main purpose is to:,Inform,Persuade,Confuse,Entertain,A,The text provides facts and information.
395,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,4,2,3,5,A,"2x = 6, x = 3."
396,General Science (GS),What planet is known as the Red Planet?,Jupiter,Venus,Mars,Earth,C,Mars is often called the Red Planet due to its reddish appearance.
397,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$75,$60,$65,$70,B,"25% of 80 is 20, so 80 - 20 = 60."
398,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Colorful,Bright,Dull,Clear,C,"'Vivid' means bright or intense, opposite is dull."
399,Paragraph Comprehension (PC),"From the passage, we can infer that:",None of the above,It’s raining,The author disagrees,The event happened,D,Inference: it happened.
400,Mathematics Knowledge (MK),What is the square root of 81?,10,7,9,8,C,9 × 9 = 81.
401,General Science (GS),What planet is known as the Red Planet?,Mars,Earth,Jupiter,Venus,A,Mars is often called the Red Planet due to its reddish appearance.
402,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",40 mph,45 mph,50 mph,60 mph,B,60 ÷ 1.5 = 40 mph.
403,Word Knowledge (WK),What is the synonym of 'elated'?,Sad,Joyful,Tired,Angry,B,'Elated' means extremely happy or joyful.
404,Paragraph Comprehension (PC),"From the passage, we can infer that:",The author disagrees,The event happened,None of the above,It’s raining,B,Inference: it happened.
405,Mathematics Knowledge (MK),What is 15% of 200?,35,25,20,30,D,15% of 200 = 0.15 × 200 = 30.
406,General Science (GS),What gas do plants absorb from the atmosphere?,Carbon Dioxide,Nitrogen,Oxygen,Hydrogen,A,Plants absorb carbon dioxide during photosynthesis.
407,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",45 mph,40 mph,60 mph,50 mph,A,60 ÷ 1.5 = 40 mph.
408,Word Knowledge (WK),What is the synonym of 'elated'?,Sad,Angry,Tired,Joyful,D,'Elated' means extremely happy or joyful.
409,Paragraph Comprehension (PC),The author’s main purpose is to:,Confuse,Persuade,Inform,Entertain,C,The text provides facts and information.
410,Mathematics Knowledge (MK),What is the square root of 81?,7,9,10,8,B,9 × 9 = 81.
