Section,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
Word Knowledge (WK),Word Knowledge (WK): What is the result of 107 + 108?,110,111,109,112,A,The result of 107 + 108 is 110.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 108 + 109?,111,112,110,113,A,The result of 108 + 109 is 111.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 109 + 110?,112,113,111,114,A,The result of 109 + 110 is 112.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 110 + 111?,113,114,112,115,A,The result of 110 + 111 is 113.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 111 + 112?,114,115,113,116,A,The result of 111 + 112 is 114.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 112 + 113?,115,116,114,117,A,The result of 112 + 113 is 115.
Word Knowledge (WK),Word Knowledge (WK): What is the result of 113 + 114?,116,117,115,118,A,The result of 113 + 114 is 116.
General Science (GS),General Science (GS): What is the result of 2 + 3?,5,6,4,7,A,The result of 2 + 3 is 5.
General Science (GS),General Science (GS): What is the result of 3 + 4?,6,7,5,8,A,The result of 3 + 4 is 6.
General Science (GS),General Science (GS): What is the result of 4 + 5?,7,8,6,9,A,The result of 4 + 5 is 7.
General Science (GS),General Science (GS): What is the result of 5 + 6?,8,9,7,10,A,The result of 5 + 6 is 8.
General Science (GS),General Science (GS): What is the result of 6 + 7?,9,10,8,11,A,The result of 6 + 7 is 9.
General Science (GS),General Science (GS): What is the result of 7 + 8?,10,11,9,12,A,The result of 7 + 8 is 10.
General Science (GS),General Science (GS): What is the result of 8 + 9?,11,12,10,13,A,The result of 8 + 9 is 11.
General Science (GS),General Science (GS): What is the result of 9 + 10?,12,13,11,14,A,The result of 9 + 10 is 12.
General Science (GS),General Science (GS): What is the result of 10 + 11?,13,14,12,15,A,The result of 10 + 11 is 13.
General Science (GS),General Science (GS): What is the result of 11 + 12?,14,15,13,16,A,The result of 11 + 12 is 14.
General Science (GS),General Science (GS): What is the result of 12 + 13?,15,16,14,17,A,The result of 12 + 13 is 15.
General Science (GS),General Science (GS): What is the result of 13 + 14?,16,17,15,18,A,The result of 13 + 14 is 16.
General Science (GS),General Science (GS): What is the result of 14 + 15?,17,18,16,19,A,The result of 14 + 15 is 17.
General Science (GS),General Science (GS): What is the result of 15 + 16?,18,19,17,20,A,The result of 15 + 16 is 18.
General Science (GS),General Science (GS): What is the result of 16 + 17?,19,20,18,21,A,The result of 16 + 17 is 19.
General Science (GS),General Science (GS): What is the result of 17 + 18?,20,21,19,22,A,The result of 17 + 18 is 20.
General Science (GS),General Science (GS): What is the result of 18 + 19?,21,22,20,23,A,The result of 18 + 19 is 21.
General Science (GS),General Science (GS): What is the result of 19 + 20?,22,23,21,24,A,The result of 19 + 20 is 22.
General Science (GS),General Science (GS): What is the result of 20 + 21?,23,24,22,25,A,The result of 20 + 21 is 23.
General Science (GS),General Science (GS): What is the result of 21 + 22?,24,25,23,26,A,The result of 21 + 22 is 24.
General Science (GS),General Science (GS): What is the result of 22 + 23?,25,26,24,27,A,The result of 22 + 23 is 25.
General Science (GS),General Science (GS): What is the result of 23 + 24?,26,27,25,28,A,The result of 23 + 24 is 26.
General Science (GS),General Science (GS): What is the result of 24 + 25?,27,28,26,29,A,The result of 24 + 25 is 27.
General Science (GS),General Science (GS): What is the result of 25 + 26?,28,29,27,30,A,The result of 25 + 26 is 28.
General Science (GS),General Science (GS): What is the result of 26 + 27?,29,30,28,31,A,The result of 26 + 27 is 29.
General Science (GS),General Science (GS): What is the result of 27 + 28?,30,31,29,32,A,The result of 27 + 28 is 30.
General Science (GS),General Science (GS): What is the result of 28 + 29?,31,32,30,33,A,The result of 28 + 29 is 31.
General Science (GS),General Science (GS): What is the result of 29 + 30?,32,33,31,34,A,The result of 29 + 30 is 32.
General Science (GS),General Science (GS): What is the result of 30 + 31?,33,34,32,35,A,The result of 30 + 31 is 33.
General Science (GS),General Science (GS): What is the result of 31 + 32?,34,35,33,36,A,The result of 31 + 32 is 34.
General Science (GS),General Science (GS): What is the result of 32 + 33?,35,36,34,37,A,The result of 32 + 33 is 35.
General Science (GS),General Science (GS): What is the result of 33 + 34?,36,37,35,38,A,The result of 33 + 34 is 36.
General Science (GS),General Science (GS): What is the result of 34 + 35?,37,38,36,39,A,The result of 34 + 35 is 37.
General Science (GS),General Science (GS): What is the result of 35 + 36?,38,39,37,40,A,The result of 35 + 36 is 38.
General Science (GS),General Science (GS): What is the result of 36 + 37?,39,40,38,41,A,The result of 36 + 37 is 39.
General Science (GS),General Science (GS): What is the result of 37 + 38?,40,41,39,42,A,The result of 37 + 38 is 40.
General Science (GS),General Science (GS): What is the result of 38 + 39?,41,42,40,43,A,The result of 38 + 39 is 41.
General Science (GS),General Science (GS): What is the result of 39 + 40?,42,43,41,44,A,The result of 39 + 40 is 42.
General Science (GS),General Science (GS): What is the result of 40 + 41?,43,44,42,45,A,The result of 40 + 41 is 43.
General Science (GS),General Science (GS): What is the result of 41 + 42?,44,45,43,46,A,The result of 41 + 42 is 44.
General Science (GS),General Science (GS): What is the result of 42 + 43?,45,46,44,47,A,The result of 42 + 43 is 45.
General Science (GS),General Science (GS): What is the result of 43 + 44?,46,47,45,48,A,The result of 43 + 44 is 46.
General Science (GS),General Science (GS): What is the result of 44 + 45?,47,48,46,49,A,The result of 44 + 45 is 47.
General Science (GS),General Science (GS): What is the result of 45 + 46?,48,49,47,50,A,The result of 45 + 46 is 48.
General Science (GS),General Science (GS): What is the result of 46 + 47?,49,50,48,51,A,The result of 46 + 47 is 49.
General Science (GS),General Science (GS): What is the result of 47 + 48?,50,51,49,52,A,The result of 47 + 48 is 50.
General Science (GS),General Science (GS): What is the result of 48 + 49?,51,52,50,53,A,The result of 48 + 49 is 51.
General Science (GS),General Science (GS): What is the result of 49 + 50?,52,53,51,54,A,The result of 49 + 50 is 52.
General Science (GS),General Science (GS): What is the result of 50 + 51?,53,54,52,55,A,The result of 50 + 51 is 53.
General Science (GS),General Science (GS): What is the result of 51 + 52?,54,55,53,56,A,The result of 51 + 52 is 54.
General Science (GS),General Science (GS): What is the result of 52 + 53?,55,56,54,57,A,The result of 52 + 53 is 55.
General Science (GS),General Science (GS): What is the result of 53 + 54?,56,57,55,58,A,The result of 53 + 54 is 56.
General Science (GS),General Science (GS): What is the result of 54 + 55?,57,58,56,59,A,The result of 54 + 55 is 57.
General Science (GS),General Science (GS): What is the result of 55 + 56?,58,59,57,60,A,The result of 55 + 56 is 58.
General Science (GS),General Science (GS): What is the result of 56 + 57?,59,60,58,61,A,The result of 56 + 57 is 59.
General Science (GS),General Science (GS): What is the result of 57 + 58?,60,61,59,62,A,The result of 57 + 58 is 60.
General Science (GS),General Science (GS): What is the result of 58 + 59?,61,62,60,63,A,The result of 58 + 59 is 61.
General Science (GS),General Science (GS): What is the result of 59 + 60?,62,63,61,64,A,The result of 59 + 60 is 62.
General Science (GS),General Science (GS): What is the result of 60 + 61?,63,64,62,65,A,The result of 60 + 61 is 63.
General Science (GS),General Science (GS): What is the result of 61 + 62?,64,65,63,66,A,The result of 61 + 62 is 64.
General Science (GS),General Science (GS): What is the result of 62 + 63?,65,66,64,67,A,The result of 62 + 63 is 65.
General Science (GS),General Science (GS): What is the result of 63 + 64?,66,67,65,68,A,The result of 63 + 64 is 66.
General Science (GS),General Science (GS): What is the result of 64 + 65?,67,68,66,69,A,The result of 64 + 65 is 67.
General Science (GS),General Science (GS): What is the result of 65 + 66?,68,69,67,70,A,The result of 65 + 66 is 68.
General Science (GS),General Science (GS): What is the result of 66 + 67?,69,70,68,71,A,The result of 66 + 67 is 69.
General Science (GS),General Science (GS): What is the result of 67 + 68?,70,71,69,72,A,The result of 67 + 68 is 70.
General Science (GS),General Science (GS): What is the result of 68 + 69?,71,72,70,73,A,The result of 68 + 69 is 71.
General Science (GS),General Science (GS): What is the result of 69 + 70?,72,73,71,74,A,The result of 69 + 70 is 72.
General Science (GS),General Science (GS): What is the result of 70 + 71?,73,74,72,75,A,The result of 70 + 71 is 73.
General Science (GS),General Science (GS): What is the result of 71 + 72?,74,75,73,76,A,The result of 71 + 72 is 74.
General Science (GS),General Science (GS): What is the result of 72 + 73?,75,76,74,77,A,The result of 72 + 73 is 75.
General Science (GS),General Science (GS): What is the result of 73 + 74?,76,77,75,78,A,The result of 73 + 74 is 76.
General Science (GS),General Science (GS): What is the result of 74 + 75?,77,78,76,79,A,The result of 74 + 75 is 77.
General Science (GS),General Science (GS): What is the result of 75 + 76?,78,79,77,80,A,The result of 75 + 76 is 78.
General Science (GS),General Science (GS): What is the result of 76 + 77?,79,80,78,81,A,The result of 76 + 77 is 79.
General Science (GS),General Science (GS): What is the result of 77 + 78?,80,81,79,82,A,The result of 77 + 78 is 80.
General Science (GS),General Science (GS): What is the result of 78 + 79?,81,82,80,83,A,The result of 78 + 79 is 81.
General Science (GS),General Science (GS): What is the result of 79 + 80?,82,83,81,84,A,The result of 79 + 80 is 82.
General Science (GS),General Science (GS): What is the result of 80 + 81?,83,84,82,85,A,The result of 80 + 81 is 83.
General Science (GS),General Science (GS): What is the result of 81 + 82?,84,85,83,86,A,The result of 81 + 82 is 84.
General Science (GS),General Science (GS): What is the result of 82 + 83?,85,86,84,87,A,The result of 82 + 83 is 85.
General Science (GS),General Science (GS): What is the result of 83 + 84?,86,87,85,88,A,The result of 83 + 84 is 86.
General Science (GS),General Science (GS): What is the result of 84 + 85?,87,88,86,89,A,The result of 84 + 85 is 87.
General Science (GS),General Science (GS): What is the result of 85 + 86?,88,89,87,90,A,The result of 85 + 86 is 88.
General Science (GS),General Science (GS): What is the result of 86 + 87?,89,90,88,91,A,The result of 86 + 87 is 89.
General Science (GS),General Science (GS): What is the result of 87 + 88?,90,91,89,92,A,The result of 87 + 88 is 90.
General Science (GS),General Science (GS): What is the result of 88 + 89?,91,92,90,93,A,The result of 88 + 89 is 91.
General Science (GS),General Science (GS): What is the result of 89 + 90?,92,93,91,94,A,The result of 89 + 90 is 92.
General Science (GS),General Science (GS): What is the result of 90 + 91?,93,94,92,95,A,The result of 90 + 91 is 93.
General Science (GS),General Science (GS): What is the result of 91 + 92?,94,95,93,96,A,The result of 91 + 92 is 94.
General Science (GS),General Science (GS): What is the result of 92 + 93?,95,96,94,97,A,The result of 92 + 93 is 95.
General Science (GS),General Science (GS): What is the result of 93 + 94?,96,97,95,98,A,The result of 93 + 94 is 96.
General Science (GS),General Science (GS): What is the result of 94 + 95?,97,98,96,99,A,The result of 94 + 95 is 97.
General Science (GS),General Science (GS): What is the result of 95 + 96?,98,99,97,100,A,The result of 95 + 96 is 98.
General Science (GS),General Science (GS): What is the result of 96 + 97?,99,100,98,101,A,The result of 96 + 97 is 99.
General Science (GS),General Science (GS): What is the result of 97 + 98?,100,101,99,102,A,The result of 97 + 98 is 100.
General Science (GS),General Science (GS): What is the result of 98 + 99?,101,102,100,103,A,The result of 98 + 99 is 101.
General Science (GS),General Science (GS): What is the result of 99 + 100?,102,103,101,104,A,The result of 99 + 100 is 102.
General Science (GS),General Science (GS): What is the result of 100 + 101?,103,104,102,105,A,The result of 100 + 101 is 103.
General Science (GS),General Science (GS): What is the result of 101 + 102?,104,105,103,106,A,The result of 101 + 102 is 104.
General Science (GS),General Science (GS): What is the result of 102 + 103?,105,106,104,107,A,The result of 102 + 103 is 105.
General Science (GS),General Science (GS): What is the result of 103 + 104?,106,107,105,108,A,The result of 103 + 104 is 106.
General Science (GS),General Science (GS): What is the result of 104 + 105?,107,108,106,109,A,The result of 104 + 105 is 107.
General Science (GS),General Science (GS): What is the result of 105 + 106?,108,109,107,110,A,The result of 105 + 106 is 108.
General Science (GS),General Science (GS): What is the result of 106 + 107?,109,110,108,111,A,The result of 106 + 107 is 109.
General Science (GS),General Science (GS): What is the result of 107 + 108?,110,111,109,112,A,The result of 107 + 108 is 110.
General Science (GS),General Science (GS): What is the result of 108 + 109?,111,112,110,113,A,The result of 108 + 109 is 111.
General Science (GS),General Science (GS): What is the result of 109 + 110?,112,113,111,114,A,The result of 109 + 110 is 112.
General Science (GS),General Science (GS): What is the result of 110 + 111?,113,114,112,115,A,The result of 110 + 111 is 113.
General Science (GS),General Science (GS): What is the result of 111 + 112?,114,115,113,116,A,The result of 111 + 112 is 114.
General Science (GS),General Science (GS): What is the result of 112 + 113?,115,116,114,117,A,The result of 112 + 113 is 115.
General Science (GS),General Science (GS): What is the result of 113 + 114?,116,117,115,118,A,The result of 113 + 114 is 116.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 2 + 3?,5,6,4,7,A,The result of 2 + 3 is 5.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 3 + 4?,6,7,5,8,A,The result of 3 + 4 is 6.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 4 + 5?,7,8,6,9,A,The result of 4 + 5 is 7.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 5 + 6?,8,9,7,10,A,The result of 5 + 6 is 8.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 6 + 7?,9,10,8,11,A,The result of 6 + 7 is 9.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 7 + 8?,10,11,9,12,A,The result of 7 + 8 is 10.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 8 + 9?,11,12,10,13,A,The result of 8 + 9 is 11.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 9 + 10?,12,13,11,14,A,The result of 9 + 10 is 12.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 10 + 11?,13,14,12,15,A,The result of 10 + 11 is 13.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 11 + 12?,14,15,13,16,A,The result of 11 + 12 is 14.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 12 + 13?,15,16,14,17,A,The result of 12 + 13 is 15.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 13 + 14?,16,17,15,18,A,The result of 13 + 14 is 16.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 14 + 15?,17,18,16,19,A,The result of 14 + 15 is 17.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 15 + 16?,18,19,17,20,A,The result of 15 + 16 is 18.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 16 + 17?,19,20,18,21,A,The result of 16 + 17 is 19.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 17 + 18?,20,21,19,22,A,The result of 17 + 18 is 20.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 18 + 19?,21,22,20,23,A,The result of 18 + 19 is 21.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 19 + 20?,22,23,21,24,A,The result of 19 + 20 is 22.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 20 + 21?,23,24,22,25,A,The result of 20 + 21 is 23.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 21 + 22?,24,25,23,26,A,The result of 21 + 22 is 24.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 22 + 23?,25,26,24,27,A,The result of 22 + 23 is 25.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 23 + 24?,26,27,25,28,A,The result of 23 + 24 is 26.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 24 + 25?,27,28,26,29,A,The result of 24 + 25 is 27.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 25 + 26?,28,29,27,30,A,The result of 25 + 26 is 28.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 26 + 27?,29,30,28,31,A,The result of 26 + 27 is 29.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 27 + 28?,30,31,29,32,A,The result of 27 + 28 is 30.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 28 + 29?,31,32,30,33,A,The result of 28 + 29 is 31.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 29 + 30?,32,33,31,34,A,The result of 29 + 30 is 32.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 30 + 31?,33,34,32,35,A,The result of 30 + 31 is 33.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 31 + 32?,34,35,33,36,A,The result of 31 + 32 is 34.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 32 + 33?,35,36,34,37,A,The result of 32 + 33 is 35.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 33 + 34?,36,37,35,38,A,The result of 33 + 34 is 36.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 34 + 35?,37,38,36,39,A,The result of 34 + 35 is 37.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 35 + 36?,38,39,37,40,A,The result of 35 + 36 is 38.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 36 + 37?,39,40,38,41,A,The result of 36 + 37 is 39.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 37 + 38?,40,41,39,42,A,The result of 37 + 38 is 40.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 38 + 39?,41,42,40,43,A,The result of 38 + 39 is 41.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 39 + 40?,42,43,41,44,A,The result of 39 + 40 is 42.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 40 + 41?,43,44,42,45,A,The result of 40 + 41 is 43.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 41 + 42?,44,45,43,46,A,The result of 41 + 42 is 44.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 42 + 43?,45,46,44,47,A,The result of 42 + 43 is 45.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 43 + 44?,46,47,45,48,A,The result of 43 + 44 is 46.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 44 + 45?,47,48,46,49,A,The result of 44 + 45 is 47.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 45 + 46?,48,49,47,50,A,The result of 45 + 46 is 48.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 46 + 47?,49,50,48,51,A,The result of 46 + 47 is 49.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 47 + 48?,50,51,49,52,A,The result of 47 + 48 is 50.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 48 + 49?,51,52,50,53,A,The result of 48 + 49 is 51.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 49 + 50?,52,53,51,54,A,The result of 49 + 50 is 52.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 50 + 51?,53,54,52,55,A,The result of 50 + 51 is 53.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 51 + 52?,54,55,53,56,A,The result of 51 + 52 is 54.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 52 + 53?,55,56,54,57,A,The result of 52 + 53 is 55.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 53 + 54?,56,57,55,58,A,The result of 53 + 54 is 56.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 54 + 55?,57,58,56,59,A,The result of 54 + 55 is 57.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 55 + 56?,58,59,57,60,A,The result of 55 + 56 is 58.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 56 + 57?,59,60,58,61,A,The result of 56 + 57 is 59.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 57 + 58?,60,61,59,62,A,The result of 57 + 58 is 60.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 58 + 59?,61,62,60,63,A,The result of 58 + 59 is 61.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 59 + 60?,62,63,61,64,A,The result of 59 + 60 is 62.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 60 + 61?,63,64,62,65,A,The result of 60 + 61 is 63.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 61 + 62?,64,65,63,66,A,The result of 61 + 62 is 64.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 62 + 63?,65,66,64,67,A,The result of 62 + 63 is 65.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 63 + 64?,66,67,65,68,A,The result of 63 + 64 is 66.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 64 + 65?,67,68,66,69,A,The result of 64 + 65 is 67.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 65 + 66?,68,69,67,70,A,The result of 65 + 66 is 68.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 66 + 67?,69,70,68,71,A,The result of 66 + 67 is 69.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 67 + 68?,70,71,69,72,A,The result of 67 + 68 is 70.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 68 + 69?,71,72,70,73,A,The result of 68 + 69 is 71.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 69 + 70?,72,73,71,74,A,The result of 69 + 70 is 72.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 70 + 71?,73,74,72,75,A,The result of 70 + 71 is 73.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 71 + 72?,74,75,73,76,A,The result of 71 + 72 is 74.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 72 + 73?,75,76,74,77,A,The result of 72 + 73 is 75.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 73 + 74?,76,77,75,78,A,The result of 73 + 74 is 76.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 74 + 75?,77,78,76,79,A,The result of 74 + 75 is 77.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 75 + 76?,78,79,77,80,A,The result of 75 + 76 is 78.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 76 + 77?,79,80,78,81,A,The result of 76 + 77 is 79.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 77 + 78?,80,81,79,82,A,The result of 77 + 78 is 80.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 78 + 79?,81,82,80,83,A,The result of 78 + 79 is 81.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 79 + 80?,82,83,81,84,A,The result of 79 + 80 is 82.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 80 + 81?,83,84,82,85,A,The result of 80 + 81 is 83.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 81 + 82?,84,85,83,86,A,The result of 81 + 82 is 84.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 82 + 83?,85,86,84,87,A,The result of 82 + 83 is 85.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 83 + 84?,86,87,85,88,A,The result of 83 + 84 is 86.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 84 + 85?,87,88,86,89,A,The result of 84 + 85 is 87.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 85 + 86?,88,89,87,90,A,The result of 85 + 86 is 88.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 86 + 87?,89,90,88,91,A,The result of 86 + 87 is 89.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 87 + 88?,90,91,89,92,A,The result of 87 + 88 is 90.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 88 + 89?,91,92,90,93,A,The result of 88 + 89 is 91.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 89 + 90?,92,93,91,94,A,The result of 89 + 90 is 92.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 90 + 91?,93,94,92,95,A,The result of 90 + 91 is 93.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 91 + 92?,94,95,93,96,A,The result of 91 + 92 is 94.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 92 + 93?,95,96,94,97,A,The result of 92 + 93 is 95.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 93 + 94?,96,97,95,98,A,The result of 93 + 94 is 96.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 94 + 95?,97,98,96,99,A,The result of 94 + 95 is 97.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 95 + 96?,98,99,97,100,A,The result of 95 + 96 is 98.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 96 + 97?,99,100,98,101,A,The result of 96 + 97 is 99.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 97 + 98?,100,101,99,102,A,The result of 97 + 98 is 100.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 98 + 99?,101,102,100,103,A,The result of 98 + 99 is 101.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 99 + 100?,102,103,101,104,A,The result of 99 + 100 is 102.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 100 + 101?,103,104,102,105,A,The result of 100 + 101 is 103.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 101 + 102?,104,105,103,106,A,The result of 101 + 102 is 104.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 102 + 103?,105,106,104,107,A,The result of 102 + 103 is 105.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 103 + 104?,106,107,105,108,A,The result of 103 + 104 is 106.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 104 + 105?,107,108,106,109,A,The result of 104 + 105 is 107.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 105 + 106?,108,109,107,110,A,The result of 105 + 106 is 108.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 106 + 107?,109,110,108,111,A,The result of 106 + 107 is 109.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 107 + 108?,110,111,109,112,A,The result of 107 + 108 is 110.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 108 + 109?,111,112,110,113,A,The result of 108 + 109 is 111.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 109 + 110?,112,113,111,114,A,The result of 109 + 110 is 112.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 110 + 111?,113,114,112,115,A,The result of 110 + 111 is 113.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 111 + 112?,114,115,113,116,A,The result of 111 + 112 is 114.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 112 + 113?,115,116,114,117,A,The result of 112 + 113 is 115.
Paragraph Comprehension (PC),Paragraph Comprehension (PC): What is the result of 113 + 114?,116,117,115,118,A,The result of 113 + 114 is 116.
Mathematics Knowledge (MK),Mathematics Knowledge (MK): What is the result of 2 + 3?,5,6,4,7,A,The result of 2 + 3 is 5.
Mathematics Knowledge (MK),Mathematics Knowledge (MK): What is the result of 3 + 4?,6,7,5,8,A,The result of 3 + 4 is 6.
Mathematics Knowledge (MK),Mathematics Knowledge (MK): What is the result of 4 + 5?,7,8,6,9,A,The result of 4 + 5 is 7.
Mathematics Knowledge (MK),Mathematics Knowledge (MK): What is the result of 5 + 6?,8,9,7,10,A,The result of 5 + 6 is 8.
Mathematics Knowledge (MK),Mathematics Knowledge (MK): What is the result of 6 + 7?,9,10,8,11,A,The result of 6 + 7 is 9.
